[NORMAL][1679649637][获取index单例成功...][searcher.hpp : 30]
[NORMAL][1679649639][当前的已经建立的索引文档: 1][index.hpp : 88]
[NORMAL][1679649639][当前的已经建立的索引文档: 2][index.hpp : 88]
[NORMAL][1679649639][当前的已经建立的索引文档: 3][index.hpp : 88]
[NORMAL][1679649639][当前的已经建立的索引文档: 4][index.hpp : 88]
[NORMAL][1679649639][当前的已经建立的索引文档: 5][index.hpp : 88]
[NORMAL][1679649639][当前的已经建立的索引文档: 6][index.hpp : 88]
[NORMAL][1679649639][当前的已经建立的索引文档: 7][index.hpp : 88]
[NORMAL][1679649640][当前的已经建立的索引文档: 8][index.hpp : 88]
[NORMAL][1679649640][当前的已经建立的索引文档: 9][index.hpp : 88]
[NORMAL][1679649640][当前的已经建立的索引文档: 10][index.hpp : 88]
[NORMAL][1679649640][当前的已经建立的索引文档: 11][index.hpp : 88]
[NORMAL][1679649652][当前的已经建立的索引文档: 12][index.hpp : 88]
[NORMAL][1679649652][当前的已经建立的索引文档: 13][index.hpp : 88]
[NORMAL][1679649652][当前的已经建立的索引文档: 14][index.hpp : 88]
[NORMAL][1679649652][当前的已经建立的索引文档: 15][index.hpp : 88]
[NORMAL][1679649652][当前的已经建立的索引文档: 16][index.hpp : 88]
[NORMAL][1679649652][当前的已经建立的索引文档: 17][index.hpp : 88]
[NORMAL][1679649652][当前的已经建立的索引文档: 18][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 19][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 20][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 21][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 22][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 23][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 24][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 25][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 26][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 27][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 28][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 29][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 30][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 31][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 32][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 33][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 34][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 35][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 36][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 37][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 38][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 39][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 40][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 41][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 42][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 43][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 44][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 45][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 46][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 47][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 48][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 49][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 50][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 51][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 52][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 53][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 54][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 55][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 56][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 57][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 58][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 59][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 60][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 61][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 62][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 63][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 64][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 65][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 66][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 67][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 68][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 69][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 70][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 71][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 72][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 73][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 74][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 75][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 76][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 77][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 78][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 79][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 80][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 81][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 82][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 83][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 84][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 85][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 86][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 87][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 88][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 89][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 90][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 91][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 92][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 93][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 94][index.hpp : 88]
[NORMAL][1679649653][当前的已经建立的索引文档: 95][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 96][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 97][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 98][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 99][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 100][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 101][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 102][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 103][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 104][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 105][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 106][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 107][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 108][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 109][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 110][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 111][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 112][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 113][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 114][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 115][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 116][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 117][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 118][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 119][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 120][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 121][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 122][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 123][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 124][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 125][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 126][index.hpp : 88]
[NORMAL][1679649654][当前的已经建立的索引文档: 127][index.hpp : 88]
